topic,topic_distribution
40,"{'germany': np.float64(0.5887798737094094), 'european': np.float64(0.44601180353620495), 'europe': np.float64(0.40484405644777954), 'america': np.float64(0.3126759044584368), 'pacific': np.float64(0.22206748038540908), 'russia': np.float64(0.18497144240412172), 'usa': np.float64(0.16402386707351793), 'japan': np.float64(0.12507066215501003), 'china': np.float64(0.11749471771007103), 'switzerland': np.float64(0.1045344131072804), 'world': np.float64(0.10414883732070572), 'france': np.float64(0.07818827196419731), 'australia': np.float64(0.06928050236596431), 'poland': np.float64(0.06891727841863199), 'canada': np.float64(0.06851488246125657), 'india': np.float64(0.06721274579322599), 'africa': np.float64(0.06072760430213953), 'south': np.float64(0.03545765261762493), 'europeenne': np.float64(0.02095750485794372), 'ocean': np.float64(0.018108387239704), 'emea': np.float64(0.015834621032939842), 'eafe': np.float64(0.008155511603570845), 'denmark': np.float64(0.006653083202343968), 'norway': np.float64(0.005883143124859259), 'sweden': np.float64(0.004902081380652269), 'brazil': np.float64(0.004393944883819288), 'saharan': np.float64(0.004393944883819288), 'scotland': np.float64(0.004393944883819288), 'austria': np.float64(0.002563368899620248), 'portugal': np.float64(0.002563368899620248), 'rea': np.float64(0.0021205696266026496), 'greece': np.float64(0.0017979249649492113), 'london': np.float64(0.0015548678947015398), 'arab': np.float64(0.0008989624824746056), 'england': np.float64(0.0008989624824746056), 'korea': np.float64(0.0008989624824746056), 'monaco': np.float64(0.0008989624824746056), 'thailand': np.float64(0.0008989624824746056), 'jungo': np.float64(0.0004511096471784721), 'continent': np.float64(8.741661194955013e-05), 'amsterdam': np.float64(6.634944907298309e-05), 'nordea': np.float64(5.954341425366708e-05), 'chicago': np.float64(2.2116483024327678e-05), 'norge': np.float64(2.2116483024327678e-05)}"
41,"{'stage': np.float64(0.7996056911732115), 'year': np.float64(0.4917642555774878), 'interest': np.float64(0.262593740461486), 'time': np.float64(0.1663672086598282), 'maturity': np.float64(0.08885542055650608), 'charge': np.float64(0.0665356480559242), 'lifetime': np.float64(0.05887762740752396), 'area': np.float64(0.055490027852835064), 'date': np.float64(0.04793447989368246), 'culture': np.float64(0.02317744904283461), 'life': np.float64(0.014803580377569975), 'holder': np.float64(0.0102924717734265), 'generation': np.float64(0.008434478481044312), 'worth': np.float64(0.00588468102649171), 'ease': np.float64(0.0030824897853209206), 'weather': np.float64(0.0028294431878550835), 'old': np.float64(0.0025035028786023115), 'ing': np.float64(0.0018843290503109697), 'winter': np.float64(0.001343332187978235), 'expiry': np.float64(0.0008013502704218349), 'grown': np.float64(0.000686243659701402), 'race': np.float64(0.0006658796892396635), 'cient': np.float64(0.0006484208821635869), 'ear': np.float64(0.0003890525292981522), 'death': np.float64(0.00020350947222414184), 'young': np.float64(0.0001810142980102448), 'age': np.float64(0.00016174591363927475), 'origin': np.float64(0.00012968417643271737), 'teen': np.float64(3.696468276708495e-05), 'season': np.float64(3.3059907095826996e-05), 'gen': np.float64(2.4844686176658938e-05), 'dating': np.float64(1.8482341383542475e-05)}"
42,"{'group': np.float64(0.999822842970363), 'collectively': np.float64(0.007875647955986805), 'collection': np.float64(0.007271888354600352), 'aggregation': np.float64(0.006744035484005841), 'allocating': np.float64(0.006453205535821014), 'incorporating': np.float64(0.005211252955697078), 'aggregating': np.float64(0.0049236142704678), 'amortizing': np.float64(0.004302137023880676), 'grouped': np.float64(0.004302137023880676), 'assigning': np.float64(0.003726097445591104), 'integrating': np.float64(0.0036392845018057146), 'combining': np.float64(0.002403351773723818), 'distributing': np.float64(0.0022992586384697733), 'cascading': np.float64(0.002243701188296617), 'consolidating': np.float64(0.0021653245091229384), 'clustered': np.float64(0.002151068511940338), 'consolidates': np.float64(0.0017461843680014644), 'averaging': np.float64(0.0016309626848197928), 'simplifying': np.float64(0.0015979935448083053), 'contributing': np.float64(0.0013028872035761448), 'filtering': np.float64(0.0006214772465870819), 'conglomerate': np.float64(0.0005045665235669603), 'collaborating': np.float64(0.000406145039727195), 'converging': np.float64(0.000406145039727195), 'combine': np.float64(0.0003406369322177646), 'computed': np.float64(0.00025228326178348016), 'dividing': np.float64(0.00025228326178348016), 'summation': np.float64(0.00025228326178348016), 'gathering': np.float64(0.00023084141752497712), 'mobilizing': np.float64(4.703329977526272e-05), 'overcollection': np.float64(2.0031814658582745e-05)}"
43,"{'behavioral': np.float64(0.6487135535494052), 'challenging': np.float64(0.42465619630705964), 'conservative': np.float64(0.33292551157197287), 'escalated': np.float64(0.31891897921192514), 'challenged': np.float64(0.30371860405455897), 'stringent': np.float64(0.21458780960517007), 'contentious': np.float64(0.12315881474701897), 'strongly': np.float64(0.1057586837185239), 'engaging': np.float64(0.0876225284640429), 'motivated': np.float64(0.05718823623254103), 'biased': np.float64(0.055236581456511696), 'disruptive': np.float64(0.041150719255467115), 'rigorous': np.float64(0.041027081628253644), 'agile': np.float64(0.036512600280124846), 'attractive': np.float64(0.03122743901157873), 'aggressive': np.float64(0.022656100351820797), 'malicious': np.float64(0.019365907769432127), 'pushing': np.float64(0.018494618903646207), 'threatened': np.float64(0.018494618903646207), 'performant': np.float64(0.01837098127643274), 'optimistic': np.float64(0.004286673127673186), 'powerful': np.float64(0.004286673127673186), 'fight': np.float64(0.002613866597357713), 'unrelenting': np.float64(0.0016695661688462436), 'vibrant': np.float64(0.0009519509954410198), 'cautious': np.float64(0.0008712888657859045), 'fighting': np.float64(0.0008712888657859045), 'threatening': np.float64(0.0005055277930387567), 'excited': np.float64(0.00016326651537282308)}"
44,"{'grc': np.float64(0.9460331693683353), 'grrc': np.float64(0.26339724687681193), 'mgmt': np.float64(0.12254393931811924), 'picag': np.float64(0.12254393931811924), 'mtm': np.float64(0.07489391607743313), 'announcement': np.float64(9.992007221626409e-16), 'agm': np.float64(-0.0), 'gwm': np.float64(-8.107697742387918e-20), 'ctg': np.float64(-3.8553238240259676e-19), 'cma': np.float64(-1.3016047338395214e-16)}"
45,"{'similar': np.float64(0.6342964471533852), 'wrong': np.float64(0.6246263985484763), 'belief': np.float64(0.34943731377224535), 'consensus': np.float64(0.1944803170716042), 'compare': np.float64(0.18269688444567944), 'believe': np.float64(0.09709326656895177), 'agree': np.float64(0.069105639218317), 'answer': np.float64(7.752005182692923e-05)}"
46,"{'business': np.float64(0.9416089830056704), 'estate': np.float64(0.22856507814627744), 'treasury': np.float64(0.17262063451729967), 'sector': np.float64(0.14489008062810632), 'commodity': np.float64(0.09320839804840908), 'agriculture': np.float64(0.02740514971794961), 'forestry': np.float64(0.022441855239565465), 'working': np.float64(0.012890749592595644), 'automotive': np.float64(0.011156517889880134), 'economically': np.float64(0.00814647526680595), 'farm': np.float64(0.003642193108931735), 'industrials': np.float64(0.003532179515850362), 'industrial': np.float64(0.002436912452516947), 'domestic': np.float64(0.0024188989313050713), 'cultivating': np.float64(0.0011773931719501207), 'grazing': np.float64(0.0005886965859750603), 'livestock': np.float64(0.0005886965859750603), 'agri': np.float64(0.0004617154478892506), 'gri': np.float64(0.0003819416678310915), 'cattle': np.float64(0.00011542886197231603), 'farming': np.float64(0.00011542886197231603), 'grain': np.float64(0.00011542886197231603), 'terra': np.float64(9.502173173504514e-05), 'artisan': np.float64(3.726856955594525e-05)}"
47,"{'considered': np.float64(0.6232479289577679), 'determined': np.float64(0.47548605672797406), 'dedicated': np.float64(0.4123942385909833), 'measured': np.float64(0.40018720846371797), 'planned': np.float64(0.13932840894086895), 'modeled': np.float64(0.09091951273353316), 'focused': np.float64(0.08893125785616308), 'targeted': np.float64(0.07497363099845734), 'envisaged': np.float64(0.05574669581288551), 'aimed': np.float64(0.05449977968334012), 'aiming': np.float64(0.04752044234731131), 'intention': np.float64(0.04194621473494709), 'indicated': np.float64(0.036464305351243904), 'tasked': np.float64(0.035944361291514015), 'viewed': np.float64(0.026343102816412015), 'steered': np.float64(0.020946158790294725), 'attempted': np.float64(0.010748585526626421), 'intends': np.float64(0.0061048536881133635), 'pointing': np.float64(0.0059479562890754215), 'geared': np.float64(0.0025547804427115276), 'positioned': np.float64(0.001289132772744937), 'targeting': np.float64(0.0007375236530474195), 'intend': np.float64(0.0006975953876797945), 'directed': np.float64(0.0003463613037179512), 'meant': np.float64(0.00028009950526884815), 'pursued': np.float64(0.00018946390468001093), 'sought': np.float64(0.00017090662467244107), 'gauged': np.float64(0.00011206425736362626), 'sharpened': np.float64(0.00011206425736362626), 'attracted': np.float64(8.682048193334565e-05), 'regarded': np.float64(5.5295726238752e-05), 'purposeful': np.float64(5.3897154357655e-05)}"
48,"{'climate': np.float64(0.7917109575021055), 'via': np.float64(0.38321544048976114), 'driver': np.float64(0.295222478779283), 'eba': np.float64(0.22151016839356036), 'gas': np.float64(0.15569311517902676), 'art': np.float64(0.13686322305887552), 'oil': np.float64(0.11968431690485702), 'water': np.float64(0.08303623721541695), 'house': np.float64(0.08135024091132464), 'air': np.float64(0.07357560039869038), 'light': np.float64(0.06891792693799367), 'fuel': np.float64(0.05764641844582826), 'open': np.float64(0.051179376850696456), 'engine': np.float64(0.028565693066029702), 'aircraft': np.float64(0.026548343716908437), 'pressure': np.float64(0.023834229189089038), 'car': np.float64(0.018838230411511548), 'wind': np.float64(0.012693398723966279), 'heat': np.float64(0.011474213665054548), 'wave': np.float64(0.010543299110272067), 'sea': np.float64(0.00990358360281845), 'airline': np.float64(0.009460636816726443), 'chair': np.float64(0.008882893816344068), 'iran': np.float64(0.0047303184083632216), 'rail': np.float64(0.0047303184083632216), 'tank': np.float64(0.0047303184083632216), 'carrier': np.float64(0.0028067466175637256), 'river': np.float64(0.0027691828349251935), 'voice': np.float64(0.0015101909747265937), 'fire': np.float64(0.0014346118277649745), 'spirit': np.float64(0.0008690113851533541), 'meter': np.float64(0.00025924575932783614)}"
49,"{'bank': np.float64(0.9044062940490606), 'deutsche': np.float64(0.4208937839929177), 'cash': np.float64(0.05618037031700188), 'ecb': np.float64(0.03898276567037666), 'bafin': np.float64(0.010152495163501567), 'interbank': np.float64(0.006857869596292691), 'basel': np.float64(0.006228578952998072), 'postbank': np.float64(0.003769688630122608), 'fdic': np.float64(0.003007085247827612), 'fsb': np.float64(0.0017705634610845308), 'frb': np.float64(0.0013251737354195864), 'pfandbriefe': np.float64(0.0012365217867430804), 'dbtc': np.float64(0.0011017080535341804), 'overdraft': np.float64(0.0009728110997170349), 'lender': np.float64(0.0007091004126909899), 'kfw': np.float64(0.0004504857517330843), 'eurosystem': np.float64(0.00035011747669907837), 'loans¹': np.float64(0.00035011747669907837), 'paribas': np.float64(0.00017505873834953919), 'akbank': np.float64(0.0001750587383495348), 'realkredit': np.float64(0.00017446901207546388), 'danskebank': np.float64(9.277672628200598e-05), 'mobilepay': np.float64(4.8591484917310824e-05), 'kpmg': np.float64(3.460876852632193e-05), 'fintechs': np.float64(3.100322562962588e-05), 'banker': np.float64(7.121607100568812e-06), 'euromoney': np.float64(7.121607100568812e-06), 'volksbank': np.float64(4.213617846611201e-06), 'warburg': np.float64(4.213617846611201e-06)}"
50,"{'unless': np.float64(0.6475958157646553), 'partly': np.float64(0.4505504006487583), 'whether': np.float64(0.3576286268554813), 'even': np.float64(0.2260703955734278), 'although': np.float64(0.21245531400558132), 'except': np.float64(0.204760792411088), 'already': np.float64(0.16348146420746995), 'whereas': np.float64(0.14309807830892204), 'slightly': np.float64(0.13637963918060314), 'whilst': np.float64(0.1084486491070105), 'whereby': np.float64(0.09383047330203068), 'rather': np.float64(0.08676359891502415), 'yet': np.float64(0.08013540362510989), 'regardless': np.float64(0.06154775739681605), 'despite': np.float64(0.0475751078044572), 'nevertheless': np.float64(0.03850384506946875), 'barely': np.float64(0.03548218478243455), 'besides': np.float64(0.03068752235194091), 'though': np.float64(0.02558512275820332), 'instead': np.float64(0.021169653028339484), 'notwithstanding': np.float64(0.01567180265357691), 'quasi': np.float64(0.00887786445293838), 'formerly': np.float64(0.007571180097311515), 'notably': np.float64(0.003679367552703731), 'lastly': np.float64(0.0013825075855371355), 'alike': np.float64(0.0008315980919726191), 'albeit': np.float64(0.0006760076641434264), 'unfortunately': np.float64(0.0005473667087900216)}"
51,"{'com': np.float64(0.8057218115646119), 'carbon': np.float64(0.48817787898568815), 'community': np.float64(0.14807412656616545), 'co': np.float64(0.14260863842179475), 'alco': np.float64(0.1335630205911641), 'erc': np.float64(0.13249759029619743), 'el': np.float64(0.12398968049854883), 'pit': np.float64(0.11543658904932731), 'cer': np.float64(0.05313843449937807), 'eca': np.float64(0.04015908928455539), 'beverage': np.float64(0.035425622999585384), 'alcos': np.float64(0.017712811499792692), 'club': np.float64(0.007988748455898427), 'sole': np.float64(0.005974432514830355), 'ber': np.float64(0.005756143405270368)}"
52,"{'using': np.float64(0.7318148217277525), 'looking': np.float64(0.5943025682358917), 'curve': np.float64(0.22692147241335248), 'call': np.float64(0.1489043709098215), 'elsewhere': np.float64(0.09300500076821117), 'look': np.float64(0.08644499935240821), 'write': np.float64(0.08202335364255911), 'linear': np.float64(0.06067904201884975), 'align': np.float64(0.0530893330992899), 'aligning': np.float64(0.05223405318590223), 'evaluate': np.float64(0.05185384103236184), 'aligns': np.float64(0.028049707359876063), 'match': np.float64(0.02210620056987213), 'put': np.float64(0.021835674013203597), 'structuring': np.float64(0.020692952634667486), 'describe': np.float64(0.016041107911632282), 'moving': np.float64(0.012937518217730568), 'matching': np.float64(0.00701517755522256), 'ect': np.float64(0.006795685605596416), 'putting': np.float64(0.006115456502246612), 'fill': np.float64(0.005092493810831421), 'logic': np.float64(0.005092493810831421), 'loop': np.float64(0.004543946925048431), 'steady': np.float64(0.0022922082445004494), 'promise': np.float64(0.0013087430491724194), 'else': np.float64(0.000267143812954413), 'streamlined': np.float64(0.00010591867560929945)}"
53,"{'organization': np.float64(0.5706079431730484), 'team': np.float64(0.5081667135561683), 'united': np.float64(0.40311876369623184), 'council': np.float64(0.2562554117364347), 'union': np.float64(0.25554828204234237), 'coordination': np.float64(0.21385949915243704), 'engagement': np.float64(0.18110119861352428), 'federation⁸': np.float64(0.1433532275505001), 'pledge': np.float64(0.08579313926293577), 'collaboration': np.float64(0.08236165872492046), 'federation': np.float64(0.07167661377525004), 'alliance': np.float64(0.03863515342970735), 'consortium': np.float64(0.03583830688762502), 'syndicate': np.float64(0.026586144622390496), 'linkage': np.float64(0.01818568796310816), 'nexus': np.float64(0.0163683468650469), 'covenant': np.float64(0.01139393182372272), 'organisation': np.float64(0.010233482273999927), 'collaborative': np.float64(0.0028336094461345225), 'synergy': np.float64(0.0021327347523428363), 'unites': np.float64(0.0009747314469096236), 'uniting': np.float64(0.0009747314469096236)}"
54,"{'buffer': np.float64(0.5917211120162176), 'manage': np.float64(0.4010824976001178), 'distribution': np.float64(0.37470740601143854), 'repo': np.float64(0.3501215856888813), 'reserve': np.float64(0.3306816029227048), 'resource': np.float64(0.2933783729059087), 'assigned': np.float64(0.14282514939184823), 'restricted': np.float64(0.05385832502157411), 'give': np.float64(0.053728973839474864), 'assigns': np.float64(0.04785850574228639), 'distributed': np.float64(0.02932332180532862), 'allocates': np.float64(0.022228561625200063), 'leasing': np.float64(0.01587497094804101), 'disposed': np.float64(0.010771665004314824), 'lease': np.float64(0.010771665004314824), 'repos': np.float64(0.010771665004314824), 'reserved': np.float64(0.008515336559377043), 'allocate': np.float64(0.005869791587821705), 'retain': np.float64(0.004164556485671313), 'shared': np.float64(0.0036780787508291705), 'array': np.float64(0.0029170445849690915), 'quota': np.float64(0.0029170445849690915), 'grant': np.float64(0.0007904120332586418), 'invalidate': np.float64(0.0006852316165704193)}"
55,"{'foreign': np.float64(0.4993594323656073), 'private': np.float64(0.4489469719814211), 'one': np.float64(0.4195646133160556), 'individual': np.float64(0.33645556940693194), 'different': np.float64(0.23506118250182595), 'single': np.float64(0.23130155297751492), 'independent': np.float64(0.22283578668756884), 'excluding': np.float64(0.21833295444026418), 'outside': np.float64(0.11507902080636863), 'personal': np.float64(0.08861872307143526), 'without': np.float64(0.08526192161268484), 'owner': np.float64(0.08346080696511646), 'separately': np.float64(0.06444826525977865), 'independently': np.float64(0.057379458567802515), 'broken': np.float64(0.0564278034754608), 'separate': np.float64(0.05243758747503277), 'others': np.float64(0.04149366646971469), 'individually': np.float64(0.032812241039918734), 'another': np.float64(0.027898523359095026), 'self': np.float64(0.020022361229876152), 'unused': np.float64(0.018677764465567983), 'un': np.float64(0.017048801180443298), 'standalone': np.float64(0.013268655640277044), 'solely': np.float64(0.008774727990240493), 'independence': np.float64(0.00824698016870817), 'none': np.float64(0.00824698016870817), 'neutral': np.float64(0.006942457768335943), 'independency': np.float64(0.0019424653113915109), 'leave': np.float64(0.0009445792027504177), 'uniquely': np.float64(0.00026800716181954877), 'unique': np.float64(0.00018828859106500472), 'alone': np.float64(0.00013126898232511535), 'anonymous': np.float64(6.28065379265122e-05), 'stranded': np.float64(6.28065379265122e-05)}"
56,"{'change': np.float64(0.9657327821630076), 'otherwise': np.float64(0.1425682284121045), 'shift': np.float64(0.14028957402399886), 'trade': np.float64(0.11367837083590947), 'equivalent': np.float64(0.06160305446969841), 'comparison': np.float64(0.052709888475586754), 'alternative': np.float64(0.04786071114845326), 'variation': np.float64(0.04732763787365076), 'conversion': np.float64(0.04395567421575605), 'exception': np.float64(0.02474495247969961), 'counter': np.float64(0.017980105953883253), 'replacement': np.float64(0.012569400106708983), 'replace': np.float64(0.007620956164407142), 'competitive': np.float64(0.007494522445133576), 'former': np.float64(0.0061707525847167185), 'choice': np.float64(0.005908476688036426), 'substitute': np.float64(0.005556515954489545), 'substituting': np.float64(0.005556515954489545), 'deal': np.float64(0.005341608762375096), 'contrast': np.float64(0.003483582249922111), 'counterpart': np.float64(0.00318173654803039), 'elt': np.float64(0.0008526767939464451), 'fallback': np.float64(0.0007281840988649456), 'attempt': np.float64(0.00011721010736331663)}"
57,"{'appetite': np.float64(0.8625269524645274), 'potential': np.float64(0.42905934221376624), 'purpose': np.float64(0.24309524437148192), 'expectation': np.float64(0.09329923139011609), 'determination': np.float64(0.061354287222066546), 'venture': np.float64(0.010385850814343567), 'ambition': np.float64(0.010026311108900576), 'campaign': np.float64(0.008961644051347788), 'honor': np.float64(0.00668854506294903), 'anticipation': np.float64(0.005832129129863022), 'prospect': np.float64(0.003924266507084702), 'want': np.float64(0.0017358497205348137), 'mission': np.float64(0.0016695354618205703), 'excellence': np.float64(0.0013638415665372249), 'satisfaction': np.float64(0.0006121159714234712), 'aspire': np.float64(0.0001383557511111312), 'striving': np.float64(0.00011428433019642639), 'aspires': np.float64(9.664844510446561e-05), 'motivation': np.float64(9.179823481778824e-05), 'desire': np.float64(5.957652850666407e-05), 'pursuing': np.float64(2.802491996403927e-05), 'honour': np.float64(1.6992525300208475e-05), 'endeavour': np.float64(1.3453077492960321e-05)}"
58,"{'remediation': np.float64(0.7822986989706431), 'amendment': np.float64(0.4846785498184805), 'repair': np.float64(0.2928185513098032), 'enhancing': np.float64(0.11544179556208253), 'reform': np.float64(0.11314353288030386), 'amortize': np.float64(0.09760618376993442), 'improving': np.float64(0.07803528470853989), 'replacing': np.float64(0.0723164505945425), 'corrective': np.float64(0.07075813953377512), 'restructuring': np.float64(0.05514297284616421), 'remediating': np.float64(0.051620425835380034), 'supplementing': np.float64(0.051620425835380034), 'renegotiation': np.float64(0.04880309188496721), 'amending': np.float64(0.04880309188496713), 'extending': np.float64(0.02968436623614118), 'updating': np.float64(0.026848044236159316), 'reconsidering': np.float64(0.022383272501948083), 'remodeling': np.float64(0.011191636250974041), 'moderating': np.float64(0.0028173339504128257), 'formulating': np.float64(0.0011460595795939458), 'proposing': np.float64(0.0007323235958016926), 'fixing': np.float64(0.00011934608548742452), 'retrofitting': np.float64(9.742926415510052e-05), 'redefining': np.float64(1.8988049569041443e-05)}"
59,"{'economic': np.float64(0.8822352702697288), 'country': np.float64(0.37549327011392597), 'average': np.float64(0.15003733470450825), 'german': np.float64(0.1365328924375354), 'us': np.float64(0.12821552447569312), 'commercial': np.float64(0.11987156528887183), 'consumer': np.float64(0.06108685459311057), 'human': np.float64(0.047181381791737524), 'international': np.float64(0.03416282059632067), 'people': np.float64(0.01966295377618248), 'traditional': np.float64(0.018376984384347626), 'eastern': np.float64(0.017124444161562443), 'western': np.float64(0.01699733427125552), 'national': np.float64(0.013214602308642574), 'ethical': np.float64(0.007506685062152058), 'ed': np.float64(0.004830555213339688), 'nation': np.float64(0.003325500153071735), 'woman': np.float64(0.0028436780829051585), 'everyone': np.float64(0.000358086823772737), 'american': np.float64(0.00011788417720874075), 'ethnic': np.float64(5.040095558401252e-05)}"
60,"{'loan': np.float64(0.8395549688725404), 'debt': np.float64(0.3259242880846761), 'lending': np.float64(0.2999783262902105), 'borrower': np.float64(0.1968987187947254), 'mortgage': np.float64(0.13066237663347266), 'financing': np.float64(0.1304327017328078), 'payment': np.float64(0.1108148689492183), 'forbearance': np.float64(0.08640570892161435), 'repayment': np.float64(0.04779550485743732), 'collateralization': np.float64(0.03758701449591798), 'securitization': np.float64(0.03279219142386717), 'prepayment': np.float64(0.01976547633450379), 'payable': np.float64(0.019326195239029703), 'refinancing': np.float64(0.01921988991847908), 'closure²': np.float64(0.009511963860465053), 'instalment': np.float64(0.009157062648046459), 'amortization': np.float64(0.008900589742906416), 'repay': np.float64(0.007941825839174216), 'monetization': np.float64(0.00579376813289547), 'appraisal': np.float64(0.0045785313240232295), 'indebtedness': np.float64(0.0045785313240232295), 'refinance': np.float64(0.003330990371310611), 'repaid': np.float64(0.0031148519166596966), 'deferral': np.float64(0.0023255083124880437), 'depreciation': np.float64(0.0018125625022078857), 'nancing': np.float64(0.0018125625022078857), 'refinanced': np.float64(0.0011304500124036461), 'paydowns': np.float64(0.0010700903465033196), 'ﬁnancing': np.float64(0.00018158306038004973), 'remortgaging': np.float64(0.00018015028556890507), 'ﬁnance': np.float64(1.0669939920007174e-05)}"
61,"{'amount': np.float64(0.5902473576498122), 'million': np.float64(0.5575780122310817), 'measure': np.float64(0.3135928708571134), 'unit': np.float64(0.26587201633168783), 'month': np.float64(0.17897929016463182), 'currency': np.float64(0.1551868548918737), 'measurement': np.float64(0.14578964561416324), 'number': np.float64(0.13588482010229203), 'quarter': np.float64(0.1330281818654694), 'supply': np.float64(0.12583577460013373), 'weighted': np.float64(0.11705090426174104), 'quantitative': np.float64(0.10340782014720351), 'percentage': np.float64(0.08159431756376592), 'size': np.float64(0.0578497243794236), 'monthly': np.float64(0.05574108721429776), 'volume': np.float64(0.040837936046508365), 'extent': np.float64(0.034736056062136436), 'weight': np.float64(0.02129697190962355), 'portion': np.float64(0.02107931199034415), 'money': np.float64(0.017777690727123274), 'quantify': np.float64(0.01572087447419852), 'sum': np.float64(0.013643301899422167), 'quantification': np.float64(0.011019533065551142), 'quantifies': np.float64(0.008379618169038193), 'monetary': np.float64(0.006126174882033864), 'much': np.float64(0.004960110730008834), 'percent': np.float64(0.004325523348634106), 'bulk': np.float64(0.004068817724712961), 'magnitude': np.float64(0.0016179299358846828), 'increment': np.float64(0.000891981777047873), 'lot': np.float64(5.762387636820231e-05), 'salary': np.float64(3.660888764647048e-05)}"
62,"{'analysis': np.float64(0.6199266045978743), 'compared': np.float64(0.5605036358680919), 'reviewed': np.float64(0.300681206328042), 'observed': np.float64(0.2831815320102741), 'monitored': np.float64(0.25883903874269726), 'described': np.float64(0.17704899676338734), 'discussed': np.float64(0.11056375366665298), 'analyze': np.float64(0.07785671722016081), 'modelled': np.float64(0.07644697396668902), 'detailed': np.float64(0.06270659658272208), 'evaluated': np.float64(0.04108579529225875), 'analyzing': np.float64(0.03806200748493114), 'characterized': np.float64(0.027951174550019206), 'analyzes': np.float64(0.015067796575061876), 'investigated': np.float64(0.013213699187572743), 'reasoned': np.float64(0.011761639242243592), 'explores': np.float64(0.004356179835987458), 'reacted': np.float64(0.003107410970815768), 'examining': np.float64(0.0029013023930246104), 'quantified': np.float64(0.0029013023930246104), 'reevaluated': np.float64(0.0029013023930246104), 'analytical': np.float64(0.0014520599453291527), 'summarized': np.float64(0.0014520599453291527), 'categorised': np.float64(0.0011484656432699052), 'normalised': np.float64(0.0005936653173281338), 'organised': np.float64(0.0005839050017562083), 'analysed': np.float64(0.000574232821635002), 'characterised': np.float64(0.0005742328216349526), 'realised': np.float64(0.0005742328216349526), 'reassessed': np.float64(0.0005742328216349526), 'emphasised': np.float64(6.241152127976826e-05), 'scrutinise': np.float64(6.241152127976826e-05), 'analyzed': np.float64(4.613897013987693e-05), 'specialised': np.float64(4.4067725335186154e-08)}"
63,"{'includes': np.float64(0.9903510507787714), 'extension': np.float64(0.10067873358802465), 'complement': np.float64(0.05825494010252665), 'incorporated': np.float64(0.04345274509654411), 'incorporates': np.float64(0.04293966009647989), 'annex': np.float64(0.027267319698056642), 'conjunction': np.float64(0.022514333694644922), 'encompassing': np.float64(0.018066816499536356), 'supplementary': np.float64(0.009969373489325271), 'expansion': np.float64(0.009473945733779764), 'extend': np.float64(0.008588953789181916), 'extends': np.float64(0.006807363291685593), 'encompasses': np.float64(0.004554507515759606), 'appendix': np.float64(0.0037956617853683768), 'expand': np.float64(0.003039466431508062), 'incorporation': np.float64(0.0026801071011622905), 'expands': np.float64(0.002247736857596572), 'annum': np.float64(0.0005502626827325676), 'supplemental': np.float64(4.586515390396426e-05), 'anniversary': np.float64(4.1478618349503125e-07)}"
64,"{'regular': np.float64(0.7211892080522417), 'regularly': np.float64(0.4357936896405372), 'daily': np.float64(0.42510216706305876), 'annually': np.float64(0.19931249986104704), 'quarterly': np.float64(0.14379153471613487), 'weekly': np.float64(0.12173719539386298), 'periodic': np.float64(0.09882743771633686), 'week': np.float64(0.08831959588690702), 'frequently': np.float64(0.07571667206435632), 'constantly': np.float64(0.05813944525833839), 'maintenance': np.float64(0.05445661315397124), 'recurring': np.float64(0.031588717727692034), 'cyclical': np.float64(0.028005573103373198), 'routinely': np.float64(0.020475123007518532), 'often': np.float64(0.019587118089825422), 'continually': np.float64(0.019344116010623854), 'recertification': np.float64(0.018228047652282437), 'renewed': np.float64(0.017770519872814708), 'periodically': np.float64(0.01695602636824009), 'yearend': np.float64(0.013197714782930402), 'yearly': np.float64(0.011187151280446225), 'continual': np.float64(0.009114023826141219), 'repeated': np.float64(0.00843867006391368), 'renewal': np.float64(0.004679400344075221), 'multiyear': np.float64(0.00421933503195684), 'subscription': np.float64(0.0009876262206735824), 'biennial': np.float64(0.0009141752961478916), 'fortnightly': np.float64(0.0009141752961478916), 'everyday': np.float64(0.0001020234236039794), 'unaudited': np.float64(7.597168255082926e-06)}"
65,"{'unsecured': np.float64(0.9180477485667107), 'externally': np.float64(0.27165783859679654), 'privacy': np.float64(0.22795140443138573), 'freely': np.float64(0.12108500016760976), 'confidentiality': np.float64(0.09639841231867641), 'explicitly': np.float64(0.05963754861749178), 'publicly': np.float64(0.0381524399157423), 'confidential': np.float64(0.02408067842960742), 'jointly': np.float64(0.022914181915051245), 'internationally': np.float64(0.018480189575890277), 'socially': np.float64(0.017376239919834415), 'unbiased': np.float64(0.017376239919834415), 'unstructured': np.float64(0.017330167377965985), 'whistleblower': np.float64(0.008703149182090761), 'anonymously': np.float64(0.0034460326179419514), 'unlisted': np.float64(0.0034460326179419007), 'unobservable': np.float64(0.0034460326179419007), 'sincerely': np.float64(2.9065769651590192e-05), 'unregistered': np.float64(2.9043001725900536e-05), 'impartial': np.float64(1.0250003908603044e-18)}"
